family,we.ep,we.eBH,wi.ep,wi.eBH,log2FC
Ambiguous_taxa,0.49051765144419995,0.7881318861258403,0.5176889083139082,0.8065204897687518,0.16992500144231237
67-14,0.4343236659207559,0.7503717440200797,0.47250145687645684,0.7880263265689029,-0.16992500144231246
Acetobacteraceae,0.5449236329603411,0.8228084760715069,0.545084256021756,0.8176805695598484,-0.16992500144231246
Acholeplasmataceae,0.5438177537871677,0.8320703084982478,0.5838128885003885,0.8429314665302737,0
Acholeplasmatales bacterium canine oral taxon 316,0.5036604016540657,0.7954851891799846,0.5189733877233876,0.8018013309311931,0
Acidaminococcaceae,0.5262554875429467,0.8256545230427826,0.5307400932400932,0.8202296424584433,0
Actinomycetaceae,0.41391515347423175,0.7453089318047899,0.4292807886557886,0.7451493531190753,-0.5145731728297583
Aerococcaceae,0.451911068978932,0.7463474869089827,0.45551184926184923,0.7543099207411244,0
Aeromonadaceae,0.4798658012815716,0.7989759113282406,0.5176561285936285,0.8275482966510843,0
Akkermansiaceae,0.48607318096804003,0.7895743732522988,0.5188361985236984,0.809789583771509,0
Aquaspirillaceae,0.4359027676871895,0.7517356089185291,0.45950126262626256,0.7738855566474462,0
Arcobacteraceae,0.45696169792619784,0.7637082745536012,0.47709183177933173,0.783161301279542,0
Atopobiaceae,0.4992229519488087,0.793765492172828,0.49602758352758347,0.8022913254205031,0
Bacillaceae,0.4617899963180251,0.7707373698370944,0.5098764083139082,0.7920323547756448,-1.8073549220576042
bacterium LWQ8,0.4729969814278107,0.7725065848916467,0.5080018939393939,0.7938719123999506,0
Bacteroidaceae,0.26092676025097816,0.5888819965005115,0.2508182789432789,0.5808812065904467,-1.4594316186372973
Barnesiellaceae,0.5134420680083389,0.8169347724781065,0.5591710372960372,0.8402299327213442,0
Bdellovibrionaceae,0.5256881548607706,0.820683457218605,0.5561334498834498,0.8348190035410401,0
Beijerinckiaceae,5.6252212411044153e-5,0.0011484274817274392,1.6025641025641026e-4,0.0034216420153920153,4.281286110390016
Bifidobacteriaceae,0.481215363321647,0.786786313308892,0.5127367424242424,0.8082798680691646,-0.3219280948873623
Blastocatellaceae,0.44880368710923696,0.7712714989345262,0.46803734459984453,0.7863148664598659,0
Blattabacteriaceae,0.4234001449799694,0.7521290832602173,0.47240068958818954,0.7727464638973097,0
Brevibacteriaceae,0.4769846812984908,0.7862785947189151,0.4953270687645687,0.8035192210069335,0
Burkholderiaceae,0.005751212520535943,0.07403316871618482,0.010380244755244756,0.1171144232477085,-1.65651576174619
Campylobacteraceae,0.5253281726728575,0.8125460615657348,0.5657075563325563,0.8367924040058636,-0.3219280948873623
candidate division SR1 bacterium taxon 345,0.5315539004799767,0.8162024686747243,0.5423513986013986,0.8226545206232652,0
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_12_FULL_41_16,0.46989474719580754,0.7799360813402932,0.4901369463869463,0.7954279737443488,0
Candidatus Magasanikbacteria bacterium RIFOXYD1_FULL_40_23,0.47118431847177983,0.7857675050694406,0.47547955516705515,0.7880818725768285,0
Candidatus Saccharibacteria bacterium UB2523,0.464763747809106,0.7569123669519139,0.49706925019425013,0.7784958335876906,0
Cardiobacteriaceae,0.5184564212960718,0.8232978610472937,0.5492606351981352,0.8366372798504035,-0.16992500144231246
Carnobacteriaceae,0.5435434333665513,0.8257757968917091,0.594551282051282,0.8560149362652124,-0.4854268271702417
Caulobacteraceae,0.011769363505436016,0.10276426247864717,0.011158459595959595,0.09587736227158267,-2.5178483048626195
Chitinophagaceae,0.010073205286594975,0.10917525571195952,0.022965229215229213,0.1772801901208044,3.7285252313655532
Christensenellaceae,0.45763686549816796,0.753400261620356,0.4467463092463092,0.7563055542194753,0.16992500144231237
