family,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
Ambiguous_taxa,11,FALSE,FALSE,FALSE,FALSE
67-14,11,FALSE,FALSE,FALSE,FALSE
Acetobacteraceae,11,FALSE,FALSE,FALSE,FALSE
Acholeplasmataceae,11,FALSE,FALSE,FALSE,FALSE
Acholeplasmatales bacterium canine oral taxon 316,11,FALSE,FALSE,FALSE,FALSE
Acidaminococcaceae,11,FALSE,FALSE,FALSE,FALSE
Actinomycetaceae,116,FALSE,FALSE,TRUE,TRUE
Aerococcaceae,11,FALSE,FALSE,FALSE,FALSE
Aeromonadaceae,11,FALSE,FALSE,FALSE,FALSE
Akkermansiaceae,11,FALSE,FALSE,FALSE,FALSE
Aquaspirillaceae,11,FALSE,FALSE,FALSE,FALSE
Arcobacteraceae,11,FALSE,FALSE,FALSE,FALSE
Atopobiaceae,11,FALSE,FALSE,FALSE,FALSE
Bacillaceae,7,FALSE,FALSE,FALSE,FALSE
bacterium LWQ8,11,FALSE,FALSE,FALSE,FALSE
Bacteroidaceae,134,FALSE,TRUE,TRUE,TRUE
Barnesiellaceae,11,FALSE,FALSE,FALSE,FALSE
Bdellovibrionaceae,11,FALSE,FALSE,FALSE,FALSE
Beijerinckiaceae,154,TRUE,TRUE,TRUE,TRUE
Bifidobacteriaceae,10,FALSE,FALSE,FALSE,FALSE
Blastocatellaceae,11,FALSE,FALSE,FALSE,FALSE
Blattabacteriaceae,11,FALSE,FALSE,FALSE,FALSE
Brevibacteriaceae,11,FALSE,FALSE,FALSE,FALSE
Burkholderiaceae,149,TRUE,TRUE,TRUE,TRUE
Campylobacteraceae,11,FALSE,FALSE,FALSE,FALSE
candidate division SR1 bacterium taxon 345,11,FALSE,FALSE,FALSE,FALSE
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_12_FULL_41_16,11,FALSE,FALSE,FALSE,FALSE
Candidatus Magasanikbacteria bacterium RIFOXYD1_FULL_40_23,11,FALSE,FALSE,FALSE,FALSE
Candidatus Saccharibacteria bacterium UB2523,11,FALSE,FALSE,FALSE,FALSE
Cardiobacteriaceae,11,FALSE,FALSE,FALSE,FALSE
Carnobacteriaceae,8,FALSE,FALSE,FALSE,FALSE
Caulobacteraceae,147,TRUE,TRUE,TRUE,TRUE
Chitinophagaceae,152,TRUE,TRUE,TRUE,TRUE
Christensenellaceae,11,FALSE,FALSE,FALSE,FALSE
Chthoniobacteraceae,11,FALSE,FALSE,FALSE,FALSE
Clostridiaceae 1,109,FALSE,FALSE,TRUE,TRUE
Clostridiales vadinBB60 group,11,FALSE,FALSE,FALSE,FALSE
Coriobacteriaceae,11,FALSE,FALSE,FALSE,FALSE
Corynebacteriaceae,148,TRUE,TRUE,TRUE,TRUE
Crocinitomicaceae,11,FALSE,FALSE,FALSE,FALSE
Cryptosporangiaceae,11,FALSE,FALSE,FALSE,FALSE
Cytophagaceae,11,FALSE,FALSE,FALSE,FALSE
Deferribacteraceae,11,FALSE,FALSE,FALSE,FALSE
Defluviitaleaceae,11,FALSE,FALSE,FALSE,FALSE
Deinococcaceae,11,FALSE,FALSE,FALSE,FALSE
Dermabacteraceae,11,FALSE,FALSE,FALSE,FALSE
Desulfomicrobiaceae,11,FALSE,FALSE,FALSE,FALSE
Desulfovibrionaceae,11,FALSE,FALSE,FALSE,FALSE
Dietziaceae,11,FALSE,FALSE,FALSE,FALSE
Diplorickettsiaceae,11,FALSE,FALSE,FALSE,FALSE
Eggerthellaceae,11,FALSE,FALSE,FALSE,FALSE
Enterobacteriaceae,11,FALSE,FALSE,FALSE,FALSE
