sampleid	Count	Cat 	Time_Point	Sample
Fe-BAL-1	6,265.00	1	0	BAL
Fe-BAL-11	3,003.00	6	0	BAL
Fe-BAL-2	5,312.00	4	0	BAL
Fe-BAL-4	8,991.00	7	0	BAL
Fe-BAL-5	9,137.00	8	0	BAL
Fe-BAL-7	6,847.00	3	0	BAL
Fe-BAL-8	6,016.00	2	0	BAL
Fe-BAL-9	6,899.00	5	0	BAL
CR12-A12	4,793.00	2	6	BAL
CR15-B3	2,259.00	4	6	BAL
CR18-B6	2,094.00	7	6	BAL
CR21-B9	2,989.00	8	6	BAL
CR24-B12	9,330.00	6	6	BAL
CR3-A3	3,512.00	1	6	BAL
CR6-A6	8,374.00	3	6	BAL
CR9-A9	3,003.00	5	6	BAL
CR27-C3	5,979.00	1	12	BAL
CR30-C6	2,701.00	3	12	BAL
CR33-C9	3,292.00	5	12	BAL
CR36-C12	2,635.00	2	12	BAL
CR39-D3	8,847.00	4	12	BAL
CR42-D6	6,832.00	7	12	BAL
CR45-D9	3,028.00	8	12	BAL
CR48-D12	2,163.00	6	12	BAL
CR51-E3	3,637.00	1	24	BAL
CR54-E6	1,617.00	3	24	BAL
CR57-E9	3,444.00	5	24	BAL
CR60-E12	3,865.00	2	24	BAL
CR63-F3	21,573.00	4	24	BAL
CR66-F6	3,947.00	7	24	BAL
CR69-F9	27,524.00	8	24	BAL
CR72-F12	7,305.00	6	24	BAL
CR75-G3	2,968.00	1	36	BAL
CR78-G6	3,179.00	3	36	BAL
CR81-G9	1,757.00	5	36	BAL
CR84-G12	3,344.00	2	36	BAL
CR87-H3	2,044.00	4	36	BAL
CR90-H6	3,124.00	7	36	BAL
CR93-H9	2,439.00	8	36	BAL
CR96-H12	1,723.00	6	36	BAL
CR108-A12	193,455.00	1	0	Fecal
CR109-B1	134,027.00	3	0	Fecal
CR110-B2	196,438.00	5	0	Fecal
CR111-B3	199,966.00	4	0	Fecal
CR112-B4	191,478.00	7	0	Fecal
CR113-B5	179,473.00	2	0	Fecal
CR115-B7	154,899.00	6	0	Fecal
CR116-B8	178,507.00	8	0	Fecal
CR11-A11	240,702.00	2	6	Fecal
CR14-B2	228,854.00	4	6	Fecal
CR17-B5	176,110.00	7	6	Fecal
CR2-A2	184,992.00	1	6	Fecal
CR20-B8	160,814.00	8	6	Fecal
CR23-B11	148,958.00	6	6	Fecal
CR5-A5	176,849.00	3	6	Fecal
CR8-A8	165,590.00	5	6	Fecal
CR26-C2	179,749.00	1	12	Fecal
CR35-C11	187,684.00	2	12	Fecal
CR38-D2	183,970.00	4	12	Fecal
CR41-D5	173,119.00	7	12	Fecal
CR44-D8	215,479.00	8	12	Fecal
CR47-D11	173,925.00	6	12	Fecal
CR50-E2	141,294.00	1	24	Fecal
CR53-E5	190,845.00	3	24	Fecal
CR56-E8	186,818.00	5	24	Fecal
CR59-E11	171,462.00	2	24	Fecal
CR62-F2	167,331.00	4	24	Fecal
CR65-F5	212,299.00	7	24	Fecal
CR68-F8	219,813.00	8	24	Fecal
CR71-F11	153,056.00	6	24	Fecal
CR74-G2	191,110.00	1	36	Fecal
CR80-G8	155,658.00	5	36	Fecal
CR83-G11	190,015.00	2	36	Fecal
CR86-H2	150,564.00	4	36	Fecal
CR89-H5	192,802.00	7	36	Fecal
CR92-H8	145,919.00	8	36	Fecal
CR95-H11	174,439.00	6	36	Fecal
CR097-A1	13,696.00	1	0	OP
CR098-A2	89,651.00	3	0	OP
CR100-A4	104,904.00	5	0	OP
CR102-A6	43,491.00	4	0	OP
CR103-A7	134,931.00	7	0	OP
CR105-A9	154,206.00	8	0	OP
CR106-A10	125,418.00	6	0	OP
CR10-A10	142,227.00	2	6	OP
CR16-B4	61,499.00	7	6	OP
CR22-B10	50,375.00	6	6	OP
CR4-A4	95,422.00	3	6	OP
CR25-C1	71,260.00	1	12	OP
CR28-C4	70,863.00	3	12	OP
CR31-C7	83,490.00	5	12	OP
CR34-C10	79,466.00	2	12	OP
CR37-D1	41,523.00	4	12	OP
CR40-D4	150,751.00	7	12	OP
CR43-D7	174,396.00	8	12	OP
CR46-D10	86,500.00	6	12	OP
CR49-E1	164,734.00	1	24	OP
CR52-E4	144,590.00	3	24	OP
CR55-E7	110,703.00	5	24	OP
CR58-E10	46,626.00	2	24	OP
CR61-F1	82,857.00	4	24	OP
CR67-F7	125,221.00	8	24	OP
CR70-F10	123,003.00	6	24	OP
CR73-G1	17,927.00	1	36	OP
CR76-G4	48,821.00	3	36	OP
CR82-G10	52,585.00	2	36	OP
CR85-H1	18,841.00	4	36	OP
CR88-H4	17,103.00	7	36	OP
CR91-H7	135,209.00	8	36	OP
CR94-H10	142,536.00	6	36	OP
